ISO,Rank2021,FR_Country,EN_country,ES_country,Score A,Sco Exa,Score 2020,Progression RANK,Rank 2020,Score 2020,Zone,AR_country,FA_country
TWN,43,Taïwan,Taiwan,Taiwàn,"23,86",0,"23,86",0,43,"23,76",Asie-Pacifique,تايوان,تایوان
TZA,124,Tanzanie,Tanzania,Tanzania,"40,69",0,"40,69",0,124,"40,25",Afrique,تنزانيا,تانزانیا
UGA,125,Ouganda,Uganda,Uganda,"41,19","39,32","41,19",0,125,"40,95",Afrique,أوغندا,اوگاندا
UKR,97,Ukraine,Ukraine,Ucrania,"28,37","51,93","32,96",-1,96,"32,52",EEAC,أوكرانيا,اوکراين
URY,18,Uruguay,Uruguay,Uruguay,"16,38",0,"16,38",1,19,"15,79",Amériques,أوروغواي,اروگويه
USA,44,Etats Unis,United States,Estados Unidos,"20,03","39,7","23,93",1,45,"23,85",Amériques,الولايات المتحدة,ایالات متحده امریکا
UZB,157,Ouzbékistan,Uzbekistan,Uzbekistàn,"50,74","13,86","50,74",-1,156,"53,07",EEAC,أوزبكستان,اوزبکستان
VEN,148,Venezuela,Venezuela,Venezuela,"46,16","54,29","47,6",-1,147,"45,66",Amériques,فنزويلا,ونزوئلا
VNM,175,Viêt Nam,Vietnam,Vietnam,"75,18","68,04","78,46",0,175,"74,71",Asie-Pacifique,فيتنام,ویتنام
WSM,21,Samoa,Samoa,Samoa,"19,24",0,"19,24",0,21,"18,25",Asie-Pacifique,ساموا,ساموآ
XCD,45,OECS,OECS,OECS,"23,97",0,"23,98",-1,44,"23,78",Amériques,الكاريبي,جزایر کارائیب شرقی
XKO,78,Kosovo,Kosovo,Kosovo,"30,32","19,46","30,32",-8,70,"29,33",UE Balkans,كوسوفو,کوسووو
YEM,169,Yémen,Yemen,Yemen,"62,35","53,33","62,35",-2,167,"58,25",MENA,اليمن,یمن
ZAF,32,Afrique du Sud,South Africa,Sudàfrica,"15,61","45,64","21,59",-1,31,"22,41",Afrique,جنوب أفريقيا,آفریقای جنوبی
ZMB,115,Zambie,Zambia,Zambia,"38,21",0,"38,21",5,120,37,Afrique,زامبيا,زامبیا
ZWE,130,Zimbabwe,Zimbabwe,Zimbabue,"43,12","34,66","43,12",-4,126,"40,95",Afrique,زيمبابوي,زیمبابوه
